Ticker,Name,Weight,Shares,Price
GOOGL UW Equity,Alphabet Inc,--,--,2523.8
APPF UQ Equity,Appfolio Inc,--,--,141.04
MKTX UW Equity,MarketAxess Holdings Inc,--,--,471.8
ALRM UW Equity,Alarm.com Holdings Inc,--,--,86.59
PRPL UW Equity,Purple Innovation Inc,--,--,27.12
NFLX UW Equity,Netflix Inc,--,--,541.64
A UN Equity,Agilent Technologies Inc,--,--,148.98
ANTM UN Equity,Anthem Inc,--,--,385.24
CME UW Equity,CME Group Inc,--,--,208.04
JNPR UN Equity,Juniper Networks Inc,--,--,27.14
BLK UN Equity,BlackRock Inc,--,--,892.68
DTE UN Equity,DTE Energy Co,--,--,112.3
NDAQ UW Equity,Nasdaq Inc,--,--,176.36
PM UN Equity,Philip Morris International Inc,--,--,98.65
CURI UR Equity,CuriosityStream Inc,--,--,13.81
SPRB UW Equity,Spruce Biosciences Inc,--,--,10.44
CRM UN Equity,salesforce.com Inc,--,--,250.25
MET UN Equity,MetLife Inc,--,--,58.9
GCP UN Equity,GCP Applied Technologies Inc,--,--,22.79
TPR UN Equity,Tapestry Inc,--,--,41.71
FLR UN Equity,Fluor Corp,--,--,16.44
EW UN Equity,Edwards Lifesciences Corp,--,--,106.46
PRCH UR Equity,Porch Group Inc,--,--,19.52
AMP UN Equity,Ameriprise Financial Inc,--,--,247.19
ZBH UN Equity,Zimmer Biomet Holdings Inc,--,--,162.78
CBRE UN Equity,CBRE Group Inc,--,--,84.94
NVT UN Equity,nVent Electric PLC,--,--,30.47
MA UN Equity,Mastercard Inc,--,--,376.12
TRTX UN Equity,TPG RE Finance Trust Inc,--,--,13.3
GME UN Equity,GameStop Corp,--,--,199.56
KMX UN Equity,CarMax Inc,--,--,132.74
ICE UN Equity,Intercontinental Exchange Inc,--,--,117.98
FIS UN Equity,Fidelity National Information Services I,--,--,145.24
CMG UN Equity,Chipotle Mexican Grill Inc,--,--,1566.41
WYNN UW Equity,Wynn Resorts Ltd,--,--,116.9
ORIC UW Equity,ORIC Pharmaceuticals Inc,--,--,18.09
AIZ UN Equity,Assurant Inc,--,--,156.81
NRG UN Equity,NRG Energy Inc,--,--,40.99
GNW UN Equity,Genworth Financial Inc,--,--,3.75
TPC UN Equity,Tutor Perini Corp,--,--,13.12
RF UN Equity,Regions Financial Corp,--,--,19.58
TDC UN Equity,Teradata Corp,--,--,47.77
MOS UN Equity,Mosaic Co/The,--,--,30.29
