Ticker,Name,Weight,Shares,Price
ICE UN Equity,Intercontinental Exchange Inc,--,--,119.32
FIS UN Equity,Fidelity National Information Services I,--,--,146.97
CMG UN Equity,Chipotle Mexican Grill Inc,--,--,1518.75
WYNN UW Equity,Wynn Resorts Ltd,--,--,124.06
ORIC UW Equity,ORIC Pharmaceuticals Inc,--,--,18.7
AIZ UN Equity,Assurant Inc,--,--,158.53
NRG UN Equity,NRG Energy Inc,--,--,38.49
GNW UN Equity,Genworth Financial Inc,--,--,4.1
TPC UN Equity,Tutor Perini Corp,--,--,13.93
RF UN Equity,Regions Financial Corp,--,--,20.6
TDC UN Equity,Teradata Corp,--,--,51.22
MOS UN Equity,Mosaic Co/The,--,--,31.2
LIVX UR Equity,LiveXLive Media Inc,--,--,4.56
EXPE UW Equity,Expedia Group Inc,--,--,170.99
PACK UN Equity,Ranpak Holdings Corp,--,--,24.49
DISCA UW Equity,Discovery Inc,--,--,30.86
CF UN Equity,CF Industries Holdings Inc,--,--,51.33
LDOS UN Equity,Leidos Holdings Inc,--,--,103.21
TNL UN Equity,Travel + Leisure Co,--,--,60.31
FSLR UW Equity,First Solar Inc,--,--,87.87
EBF UN Equity,Ennis Inc,--,--,21.6
DFS UN Equity,Discover Financial Services,--,--,123.57
TRIP UW Equity,TripAdvisor Inc,--,--,42.37
V UN Equity,Visa Inc,--,--,237.32
FARM UW Equity,Farmer Bros Co,--,--,12.02
LC UN Equity,LendingClub Corp,--,--,19.39
XYL UN Equity,Xylem Inc/NY,--,--,116.85
MPC UN Equity,Marathon Petroleum Corp,--,--,62.55
FFWM UQ Equity,First Foundation Inc,--,--,23.67
ACBI UW Equity,Atlantic Capital Bancshares Inc,--,--,26.02
NBEV UR Equity,NewAge Inc,--,--,2.29
CSR UN Equity,Centerspace,--,--,79.71
BLMN UW Equity,Bloomin' Brands Inc,--,--,27.23
XOMA UQ Equity,XOMA Corp,--,--,35.47
SNDX UW Equity,Syndax Pharmaceuticals Inc,--,--,18.36
OSG UN Equity,Overseas Shipholding Group Inc,--,--,2.11
LGF/B UN Equity,Lions Gate Entertainment Corp,--,--,17.74
STEP UW Equity,StepStone Group Inc,--,--,34.5
FROG UW Equity,JFrog Ltd,--,--,49.71
VIRT UW Equity,Virtu Financial Inc,--,--,27.75
ETSY UW Equity,Etsy Inc,--,--,184.8
CACI UN Equity,CACI International Inc,--,--,260.42
LBC UW Equity,Luther Burbank Corp,--,--,12.08
DNLI UW Equity,Denali Therapeutics Inc,--,--,74.68
ALEC UW Equity,Alector Inc,--,--,21.27
DXC UN Equity,DXC Technology Co,--,--,39.46
FBK UN Equity,FB Financial Corp,--,--,38.59
NTB UN Equity,Bank of NT Butterfield & Son Ltd/The,--,--,36.66
KALA UW Equity,Kala Pharmaceuticals Inc,--,--,6.04
CLXT UQ Equity,Calyxt Inc,--,--,4.05
